name,group,n,dt,min,p1,median,max,min_az
maze_1,experiments,1961,0.0020000000000000018,0.9883470843545593,0.98870229836574,1.033417935890031,1.0917871096162446,-0.2580143821189748
maze_3,experiments,2381,0.0020000000000000018,0.9802573705027061,0.9804994316623518,1.0078516272818765,1.0368633856099765,-0.2890049077903365
forest_000_f0_g15_0_0_m0p5_v0_0_0_s1390851128,forests,50,0.10000000000000009,0.9999999999999489,1.0002712885528688,1.0424899719377785,1.1009273706448794,-0.0501286518768938
forest_001_f0_g15_0_0_m0p5_v1_0_0_s1390851128,forests,48,0.10000000000000009,0.9999999999999464,1.0003118595033214,1.0442531327667848,1.0769821912675062,-0.0508581870141201
forest_003_f0_g15_n3_0_m0p5_v1_0_0_s1390851128,forests,47,0.10000000000000009,0.99963854581859,0.99980481474202,1.0275602963207737,1.1287193743421386,-0.0877793382622498
forest_004_f0_g15_3_0_m0p5_v0_0_0_s1390851128,forests,49,0.10000000000000009,0.9194121642780813,0.9196836734306737,1.0460897621840353,1.1725645242289617,-0.8699026893513453
forest_005_f0_g15_3_0_m0p5_v1_0_0_s1390851128,forests,105,0.09999999999999998,0.9988885702971823,0.9988965701326803,1.0011279752820734,1.0046543524310914,-0.015522845991859
forest_008_f0_g15_3_0_m0p6_v0_0_0_s1390851128,forests,59,0.10000000000000009,0.9416813646045986,0.9422485255235886,1.0416346571831157,1.1629884114084592,-0.8920298273234577
forest_266_f0_g15_3_0_m0p6_v0_0_0_s2006345357,forests,58,0.10000000000000009,0.9186045972283665,0.9196071421280351,1.0593436870150694,1.118127410135046,-0.8907852003000626
forest_267_f0_g15_0_0_m0p6_v0_0_0_s208396045,forests,53,0.10000000000000009,0.8500884887563963,0.8513913930273008,1.067760336689304,1.133419639960475,-1.6082674940304764
forest_270_f0_g15_0_0_m0p6_v0_0_0_s2849584720,forests,53,0.10000000000000009,0.9895418472721456,0.9898114614224537,1.0424435167113186,1.0971140209969499,-0.1403590238030895
forest_272_f0_g15_3_0_m0p6_v0_0_0_s2849584720,forests,66,0.10000000000000009,0.9443445662578582,0.9446681207638913,1.0229117991159895,1.1518556363183001,-0.780819061340297
forest_273_f0_g15_0_0_m0p6_v0_0_0_s2162603472,forests,50,0.10000000000000009,0.9958803698103547,0.996909128596543,1.0492631585217629,1.0938091796911336,-0.0815525219859385
forest_276_f0_g15_0_0_m0p6_v0_0_0_s921369128,forests,50,0.10000000000000009,0.9948881716371852,0.9951173756886229,1.0301015525087756,1.1009164496288217,-0.0686483067162809
forest_281_f0_g15_3_0_m0p6_v0_0_0_s2585754277,forests,62,0.10000000000000009,0.94362451231459,0.943931027675333,1.039573556154088,1.1311232601280092,-0.8447189502207647
forest_288_f0_g15_0_0_m0p6_v0_0_0_s1239194420,forests,52,0.10000000000000009,0.9895737197094016,0.9901990833623352,1.026932537645624,1.096859395472626,-0.1039115766941664
forest_291_f0_g15_0_0_m0p6_v0_0_0_s2085050136,forests,83,0.10000000000000002,0.9115945096196255,0.913982737166316,1.0395458136170108,1.1941346346337824,-0.8688420251309309
forest_293_f0_g15_3_0_m0p6_v0_0_0_s2085050136,forests,68,0.10000000000000009,0.9835795553361489,0.9844257229283829,1.0539657357994683,1.1619458823530904,-0.6105006813098142
forest_296_f0_g15_3_0_m0p6_v0_0_0_s2973933025,forests,84,0.1,0.9847973824534728,0.9847987811365531,1.0097446927237588,1.0232507373832371,-0.1539063363542994
forest_300_f0_g15_0_0_m0p6_v0_0_0_s912151271,forests,64,0.10000000000000009,0.9456678232293874,0.946208279436648,1.0628059951738065,1.143628223266891,-0.642803337231934
forest_301_f0_g15_n3_0_m0p6_v0_0_0_s912151271,forests,50,0.10000000000000009,0.9957972822889035,0.9961923757334558,1.0416826551250087,1.094502367264618,-0.0842167034621868
forest_302_f0_g15_3_0_m0p6_v0_0_0_s912151271,forests,63,0.10000000000000009,0.9976696697135177,0.9991144744911367,1.0588226400285394,1.1594005431923926,-0.1593947900037134
forest_305_f0_g15_3_0_m0p6_v0_0_0_s1413205252,forests,64,0.10000000000000009,0.9927909363519462,0.9932173789449347,1.0439766877947374,1.1025428821919179,-0.1560749565526807
forest_306_f0_g15_0_0_m0p6_v0_0_0_s4170868291,forests,51,0.10000000000000009,0.9147007295453666,0.9161637136669578,1.033812942655788,1.164609695019928,-0.9448242840352364
forest_308_f0_g15_3_0_m0p6_v0_0_0_s4170868291,forests,69,0.10000000000000009,0.9999999999999899,1.0007329150481197,1.0378626163596967,1.0875246193638854,-0.0966008926727835
forest_312_f0_g15_0_0_m0p6_v0_0_0_s302174501,forests,67,0.10000000000000009,0.9752389421024265,0.9756774419247182,1.0142588835713786,1.1320401433048324,-0.8079261066132589
forest_317_f0_g15_3_0_m0p6_v0_0_0_s1096255766,forests,64,0.10000000000000009,0.9285004926414471,0.9303512596083066,1.057159293863244,1.1459089656951285,-0.7776509866815923
forest_318_f0_g15_0_0_m0p6_v0_0_0_s830159750,forests,122,0.09999999999999964,0.9769356773038357,0.9777236968653108,1.0153211007107323,1.0641129066939912,-0.3452961157672854
forest_319_f0_g15_n3_0_m0p6_v0_0_0_s830159750,forests,89,0.09999999999999999,0.9563536954148153,0.9563932634918959,1.0261032484011643,1.1175470696393919,-0.6809200965109916
forest_320_f0_g15_3_0_m0p6_v0_0_0_s830159750,forests,57,0.10000000000000009,0.869572140778758,0.8701631826216936,1.0403448421945427,1.1610399737197339,-1.338010995352211
forest_321_f0_g15_0_0_m0p6_v0_0_0_s691775673,forests,53,0.10000000000000009,0.8903885572455899,0.8944709522562642,1.0628650626146459,1.159458191210904,-1.149742042050649
forest_322_f0_g15_n3_0_m0p6_v0_0_0_s691775673,forests,49,0.10000000000000009,0.999999999999932,1.0001151481232111,1.023303706251196,1.1004251916266525,-0.0020768499182562
forest_323_f0_g15_3_0_m0p6_v0_0_0_s691775673,forests,49,0.10000000000000009,0.9126075158365595,0.9148182335858622,1.0430381167206966,1.1699789874199,-1.1888148628618698
forest_325_f0_g15_n3_0_m0p6_v0_0_0_s381666133,forests,89,0.09999999999999999,0.9235877975740411,0.9282361050960267,1.020114680041573,1.1512921303832875,-0.8075570868680781
forest_326_f0_g15_3_0_m0p6_v0_0_0_s381666133,forests,53,0.10000000000000009,0.9846744828887647,0.9851129392762513,1.0317655712505405,1.1005667502398055,-0.1536406991012499
forest_328_f0_g15_n3_0_m0p6_v0_0_0_s1912169913,forests,67,0.10000000000000009,1.0,1.0010363404955782,1.0281123467757858,1.0796817284067173,-0.1931456941229663
forest_331_f0_g15_n3_0_m0p6_v0_0_0_s3306660698,forests,70,0.10000000000000009,0.9317420323637668,0.9329611947603995,1.0501352186799888,1.176256644830721,-0.7856519347691043
forest_332_f0_g15_3_0_m0p6_v0_0_0_s3306660698,forests,52,0.10000000000000009,0.9934908613436438,0.9947442074463307,1.0369529203732826,1.0983809449996909,-0.0641157921255965
forest_333_f0_g15_0_0_m0p6_v0_0_0_s2307806176,forests,53,0.10000000000000009,0.8706729724510682,0.8711083133753985,1.066840413816823,1.1243171505050165,-1.3904895251352656
forest_334_f0_g15_n3_0_m0p6_v0_0_0_s2307806176,forests,52,0.10000000000000009,0.8829299146403943,0.8841102510356456,1.0564516822859542,1.134005720339007,-1.3031329642469325
forest_335_f0_g15_3_0_m0p6_v0_0_0_s2307806176,forests,69,0.10000000000000009,0.9287057481026474,0.9291376893689777,1.026268989358081,1.1195110318989585,-0.7202935555058052
forest_336_f0_g15_0_0_m0p6_v0_0_0_s1574169845,forests,69,0.10000000000000009,0.9944679246756003,0.9970426798468296,1.0438475803142868,1.1405537177960754,-0.1118758136208883
forest_338_f0_g15_3_0_m0p6_v0_0_0_s1574169845,forests,57,0.10000000000000009,0.9152103828099974,0.9164165847403977,1.045255896525585,1.1045338922383339,-1.0090639711098348
forest_339_f0_g15_0_0_m0p6_v0_0_0_s822964419,forests,49,0.10000000000000009,0.8411394525371502,0.8431729967953384,1.0564301649756824,1.175378599895655,-1.5665609991509646
forest_340_f0_g15_n3_0_m0p6_v0_0_0_s822964419,forests,63,0.10000000000000009,0.9986521491459296,0.9994878166754465,1.0481238561051798,1.1254874013242535,-0.3425743893333265
forest_341_f0_g15_3_0_m0p6_v0_0_0_s822964419,forests,70,0.10000000000000009,0.8833181178969848,0.8844032153146718,1.0485139243357726,1.1660769578225372,-1.2288725327795755
forest_343_f0_g15_n3_0_m0p6_v0_0_0_s2025859891,forests,64,0.10000000000000009,0.9015021225875122,0.9078076966296412,1.031943243611685,1.1996296050030262,-1.186715427380516
forest_344_f0_g15_3_0_m0p6_v0_0_0_s2025859891,forests,52,0.10000000000000009,0.8710796273711184,0.8715141096593125,1.0547675203117814,1.1464628126308707,-1.3342119044489542
forest_345_f0_g15_0_0_m0p6_v0_0_0_s3377038195,forests,54,0.10000000000000009,0.879605692717478,0.8806142166162692,1.0658729059002239,1.1451374810505512,-1.221666398977829
forest_350_f0_g15_3_0_m0p6_v0_0_0_s1400280754,forests,69,0.10000000000000009,0.9925569485458277,0.9943381239681431,1.0438560569845472,1.121401761714172,-0.103645403779908
forest_355_f0_g15_n3_0_m0p6_v0_0_0_s2737727752,forests,55,0.10000000000000009,0.9207947075618369,0.9217664032959384,1.0595264339592465,1.154416986070699,-0.8745409384224179
forest_357_f0_g15_0_0_m0p6_v0_0_0_s3398156566,forests,55,0.10000000000000009,0.9224638908751788,0.9224742188388507,1.04287726336809,1.1281719887868011,-0.8518645805768502
forest_359_f0_g15_3_0_m0p6_v0_0_0_s3398156566,forests,75,0.10000000000000006,0.9634957911727376,0.9644413788242893,1.0359491093328497,1.1463226836460656,-0.8697894140851878
